26 Feb	Mahasivarathri Day
1 Mar	Ramadan Start
13 Mar	Madin Full Moon Poya Day
31 Mar	Eid al-Fitr
12 Apr	Bak Full Moon Poya Day
13 Apr	Sinhala and Tamil New Year's Eve
14 Apr	Sinhala and Tamil New Year's Day
18 Apr	Good Friday
20 Apr	Easter Sunday
1 May	May Day
11 May	Mother's Day
 	 	
12 May	Vesak Full Moon Poya Day
13 May	Day after Vesak Full Moon Poya Day
7 Jun	Eid al-Adha
10 Jun	Poson Full Moon Poya Day
15 Jun	Father's Day
10 Jul	Esala Full Moon Poya Day
8 Aug	Nikini Full Moon Poya Day
5 Sep	Milad-Un-Nabi (Holy Prophet's Birthday)
7 Sep	Binara Full Moon Poya Day
6 Oct	Vap Full Moon Poya Day
20 Oct	Deepavali
5 Nov	Il Full Moon Poya Day
4 Dec	Unduvap Full Moon Poya Day
24 Dec	Christmas Eve
25 Dec	Christmas Day
